"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MedicationItemConfig","MedicationItemConfig.showDosage","MedicationItemConfig.showDosage","","","",0,1,"","","","boolean {[]} {[]}
","Show the dosage instruction text","Show the dosage instruction text","","","","","","","","","",,,,,"",,,,"MedicationItemConfig.showDosage",0,1,"",""
"MedicationItemConfig","MedicationItemConfig.compact","MedicationItemConfig.compact","","","",0,1,"","","","boolean {[]} {[]}
","Use a single-line compact display mode","Use a single-line compact display mode","","","","","","","","","",,,,,"",,,,"MedicationItemConfig.compact",0,1,"",""
"MemberItemConfig","MemberItemConfig","MemberItemConfig","","","",0,*,"","","","null {[]} {[]}
","Member Item Configuration","Configuration for the MemberItem component rendered in the household member list.
Controls which demographic fields are visible for each member row.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MemberItemConfig","MemberItemConfig.padding","MemberItemConfig.padding","","","",0,1,"","","","decimal {[]} {[]}
","Content padding in density-independent pixels (DP)","Content padding in density-independent pixels (DP)","","","","","","","","","",,,,,"",,,,"ViewConfig.padding",0,1,"",""
"MemberItemConfig","MemberItemConfig.elevation","MemberItemConfig.elevation","","","",0,1,"","","","decimal {[]} {[]}
","Shadow elevation depth in DP","Shadow elevation depth in DP","","","","","","","","","",,,,,"",,,,"CardConfig.elevation",0,1,"",""
"MemberItemConfig","MemberItemConfig.cornerRadius","MemberItemConfig.cornerRadius","","","",0,1,"","","","decimal {[]} {[]}
","Corner rounding radius in DP","Corner rounding radius in DP","","","","","","","","","",,,,,"",,,,"CardConfig.cornerRadius",0,1,"",""
"MemberItemConfig","MemberItemConfig.showAge","MemberItemConfig.showAge","","","",0,1,"","","","boolean {[]} {[]}
","Show the member's calculated age","Show the member's calculated age","","","","","","","","","",,,,,"",,,,"MemberItemConfig.showAge",0,1,"",""
"MemberItemConfig","MemberItemConfig.showGender","MemberItemConfig.showGender","","","",0,1,"","","","boolean {[]} {[]}
","Show the member's gender","Show the member's gender","","","","","","","","","",,,,,"",,,,"MemberItemConfig.showGender",0,1,"",""
"MemberItemConfig","MemberItemConfig.showRelationship","MemberItemConfig.showRelationship","","","",0,1,"","","","boolean {[]} {[]}
","Show the member's relationship to the head","Show the member's relationship to the head","","","","","","","","","",,,,,"",,,,"MemberItemConfig.showRelationship",0,1,"",""
"PatientCardConfig","PatientCardConfig","PatientCardConfig","","","",0,*,"","","","null {[]} {[]}
","Patient Card Configuration","Configuration for the PatientCard component rendered in the patient list screen.
Controls which demographic fields are visible on the card.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
